country,kpi,value,currency,period,year,source_id,source_url,retrieved,confidence,note
IT,telecom_rev,29.53,EUR,2025,2025,agcom,https://www.agcom.it/comunicazione/comunicati-stampa/osservatorio-sulle-comunicazioni-n-2-2026,2026-09-23,ufficiale,Ricavi complessivi comunicazioni elettroniche (retail + wholesale) - AGCOM Relazione annuale 2026
IT,mobile_rev,9.87,EUR,2025,2025,agcom,https://www.agcom.it/sites/default/files/documenti/relazione_annuale/Relazione%20annuale%202026_0.pdf,2026-09-23,ufficiale,Spesa finale utenti residenziali e affari su rete mobile - Relazione annuale AGCOM 2026 (grafico 1.1.2)
IT,mobile_subs,78.89,,Q1 2026,2026,agcom,https://www.agcom.it/comunicazione/comunicati-stampa/osservatorio-sulle-comunicazioni-n-2-2026,2026-09-23,ufficiale,SIM human (voce e dati) a marzo 2026
IT,mobile_data,31,,2025,2025,agcom,https://www.agcom.it/sites/default/files/documenti/relazione_annuale/Relazione%20annuale%202026_0.pdf,2026-09-23,ufficiale,Traffico unitario mensile medio per SIM human che effettua traffico dati - Relazione annuale AGCOM 2026
IT,fbb_subs,19.37,,Q1 2026,2026,agcom,https://www.agcom.it/comunicazione/comunicati-stampa/osservatorio-sulle-comunicazioni-n-2-2026,2026-09-23,ufficiale,Linee broadband e ultrabroadband a marzo 2026 (incl. FWA)
IT,cov_5g,99.82,,2025,2025,ec_digital_decade,https://innovazione.gov.it/notizie/articoli/en/digital-decade-italy-above-eu-average-on-public-services-5g-ehealth-and-fibre-connnectivity/,2026-09-23,ufficiale,Basic 5G coverage - Digital Decade 2026 (media UE 96.79)
IT,cov_fttp,77.56,,2025,2025,ec_digital_decade,https://innovazione.gov.it/notizie/articoli/en/digital-decade-italy-above-eu-average-on-public-services-5g-ehealth-and-fibre-connnectivity/,2026-09-23,ufficiale,FTTP coverage - Digital Decade 2026 (media UE 74.13)
IT,speed_mobile,85.32,,2025-10,2025,ookla,https://drifteuropa.com/data/data-europe.json,2026-09-23,secondaria,Mediana download mobile Speedtest Global Index ottobre 2025
DE,telecom_rev,59.6,EUR,2025,2025,bnetza,https://data.bundesnetzagentur.de/Bundesnetzagentur/SharedDocs/Mediathek/Jahresberichte/JB2025TK.pdf,2026-09-23,ufficiale,Außenumsatzerlöse (retail + wholesale; valore di previsione)
DE,mobile_rev,19.56,EUR,2025,2025,bnetza,https://data.bundesnetzagentur.de/Bundesnetzagentur/SharedDocs/Mediathek/Jahresberichte/JB2025TK.pdf,2026-09-23,calcolato,72% dei ricavi mobili di 27.16 mld = servizi retail esclusi terminali
DE,mobile_subs,106.4,,2025,2025,bnetza,https://data.bundesnetzagentur.de/Bundesnetzagentur/SharedDocs/Mediathek/Jahresberichte/JB2025TK.pdf,2026-09-23,ufficiale,Profili SIM attivi esclusi M2M a fine 2025
DE,mobile_data,8.4,,2025,2025,bnetza,https://data.bundesnetzagentur.de/Bundesnetzagentur/SharedDocs/Mediathek/Jahresberichte/JB2025TK.pdf,2026-09-23,ufficiale,Media per profilo SIM attivo (base più ampia degli altri paesi)
DE,fbb_subs,38.8,,2025,2025,bnetza,https://data.bundesnetzagentur.de/Bundesnetzagentur/SharedDocs/Mediathek/Jahresberichte/JB2025TK.pdf,2026-09-23,ufficiale,Accessi broadband fissi attivi a fine 2025
DE,capex,15.3,EUR,2025,2025,bnetza,https://data.bundesnetzagentur.de/Bundesnetzagentur/SharedDocs/Mediathek/Jahresberichte/JB2025TK.pdf,2026-09-23,ufficiale,Investimenti in immobilizzazioni materiali (previsione; escluso leasing IFRS16)
DE,cov_5g,99.47,,2025,2025,ec_digital_decade,https://www.heise.de/en/news/EU-Digital-Decade-Report-2026-Germany-s-progress-is-slow-11335819.html,2026-09-23,ufficiale,Basic 5G coverage - Digital Decade 2026; banda 3.4-3.8 GHz solo 54.43
DE,cov_fttp,43.98,,2025,2025,ec_digital_decade,https://www.heise.de/en/news/EU-Digital-Decade-Report-2026-Germany-s-progress-is-slow-11335819.html,2026-09-23,ufficiale,FTTP coverage - Digital Decade 2026 (penultima in UE)
DE,speed_mobile,75.67,,2025-10,2025,ookla,https://drifteuropa.com/data/data-europe.json,2026-09-23,secondaria,Mediana download mobile Speedtest Global Index ottobre 2025
FR,telecom_rev,37.5,EUR,2025,2025,arcep,https://www.arcep.fr/uploads/tx_gspublication/RA2026-Tome01-Chiffres-cles-marches-regules_normeA.pdf,2026-09-23,ufficiale,Solo mercato retail (wholesale escluso)
FR,mobile_rev,14.6,EUR,2025,2025,arcep,https://www.arcep.fr/uploads/tx_gspublication/RA2026-Tome01-Chiffres-cles-marches-regules_normeA.pdf,2026-09-23,ufficiale,Servizi mobili retail escl. M2M; ARPU Arcep 14.30 € HT/SIM/mese
FR,mobile_subs,84.9,,2025,2025,arcep,https://www.arcep.fr/fileadmin/cru-1769533491/reprise/observatoire/obs-mobile/2025/t4-2025/obs-mobile-T4-2025_050226.pdf,2026-09-23,ufficiale,Carte SIM in servizio escl. M2M al 31/12/2025
FR,mobile_data,17.9,,2025,2025,arcep,https://www.arcep.fr/actualites/actualites-et-communiques/detail/n/marche-francais-des-telecoms-280526.html,2026-09-23,ufficiale,Media per cliente attivo su 4G
FR,fbb_subs,32.8,,Q3 2025,2025,arcep,https://www.arcep.fr/actualites/actualites-et-communiques/detail/n/observatoire-des-marches-des-communications-electroniques-150126.html,2026-09-23,ufficiale,Abbonamenti internet alta e altissima velocità a fine settembre 2025
FR,capex,10.3,EUR,2025,2025,arcep,https://www.arcep.fr/actualites/actualites-et-communiques/detail/n/marche-francais-des-telecoms-280526.html,2026-09-23,ufficiale,Operatori + towerco; escluso spettro
FR,cov_5g,96.4,,2025,2025,ec_digital_decade,https://data.consilium.europa.eu/doc/document/ST-10476-2026-ADD-11/en/pdf,2026-09-23,ufficiale,Basic 5G coverage - Digital Decade 2026
FR,cov_fttp,91.7,,2025,2025,ec_digital_decade,https://data.consilium.europa.eu/doc/document/ST-10476-2026-ADD-11/en/pdf,2026-09-23,ufficiale,FTTP coverage - Digital Decade 2026
FR,speed_mobile,139.11,,2025-10,2025,ookla,https://drifteuropa.com/data/data-europe.json,2026-09-23,secondaria,Mediana download mobile Speedtest Global Index ottobre 2025
ES,telecom_rev,15.01,EUR,2025,2025,cnmc,https://cnmc.es/sites/default/files/6641332.pdf,2026-09-23,calcolato,Retail telecom: fisso 5.91 + business 1.22 + mobile 7.88; esclusi audiovisivo terminali e wholesale
ES,mobile_rev,7.88,EUR,2025,2025,cnmc,https://cnmc.es/sites/default/files/6641332.pdf,2026-09-23,ufficiale,Comunicaciones móviles retail (voce + banda larga mobile)
ES,mobile_subs,64.2,,2025,2025,cnmc,https://cnmc.es/sites/default/files/6641332.pdf,2026-09-23,ufficiale,Linee mobili a fine 2025 (M2M a parte: 40.9 mln)
ES,mobile_data,14.6,,2025,2025,cnmc,https://cnmc.es/sites/default/files/6641332.pdf,2026-09-23,ufficiale,Traffico medio mensile per linea
ES,fbb_subs,19.9,,2025,2025,cnmc,https://cnmc.es/sites/default/files/6641332.pdf,2026-09-23,ufficiale,Accessi broadband fissi attivi (91% FTTH)
ES,capex,5.96,EUR,2025,2025,cnmc,https://cnmc.es/sites/default/files/6641332.pdf,2026-09-23,calcolato,6.07 mld totali meno 0.11 mld di spettro; include operatori audiovisivi
ES,cov_5g,99.17,,2025,2025,ec_digital_decade,https://www.mobileworldlive.com/spanish/espana-avanza-en-conectividad-y-servicios-publicos-digitales-segun-la-comision-europea/,2026-09-23,ufficiale,Basic 5G coverage - Digital Decade 2026
ES,cov_fttp,95.97,,2025,2025,ec_digital_decade,https://www.mobileworldlive.com/spanish/espana-avanza-en-conectividad-y-servicios-publicos-digitales-segun-la-comision-europea/,2026-09-23,ufficiale,FTTP coverage - Digital Decade 2026 (seconda in UE)
ES,speed_mobile,81.26,,2025-10,2025,ookla,https://drifteuropa.com/data/data-europe.json,2026-09-23,secondaria,Mediana download mobile Speedtest Global Index ottobre 2025
GB,telecom_rev,34.7,GBP,2025,2025,ofcom,https://www.ofcom.org.uk/siteassets/resources/documents/research-and-data/multi-sector/cmr/cmr26/communications-market-report-2026.pdf,2026-09-23,ufficiale,Ricavi totali settore (retail fisso 14.9 + retail mobile 14.5 + wholesale 5.3)
GB,mobile_rev,14.5,GBP,2025,2025,ofcom,https://www.ofcom.org.uk/siteassets/resources/documents/research-and-data/multi-sector/cmr/cmr26/communications-market-report-2026.pdf,2026-09-23,ufficiale,Servizi mobili retail; ARPU Ofcom Q4 2025 13.24 £/mese
GB,mobile_subs,91.1,,Q4 2025,2025,ofcom,https://www.ofcom.org.uk/phones-and-broadband/telecoms-infrastructure/telecommunications-market-data-update,2026-09-23,ufficiale,Abbonamenti mobili attivi escl. M2M
